Timestamp,Year,Ever worked as a K-12 classroom teacher? (Choose one.),Hours you currently work per week at a paid job,Hours outside class spent on EDU-790 per week (enter response as a number),Number of OTHER classes you are taking now (enter response as a number),Hours outside class spent on OTHER classes per week (enter response as a number),Percent of US adults age 25+ w/ advanced degree (number only),Percent of US adults age 25+ with at least a bachelor's degree (number only),Percent of US adults age 25+ with at least a high school diploma or GED (number only),Percent of AU class of 2015 who studied abroad as undergraduates (number only),Percent of US college graduates who have studied abroad (number only),K-12 students should be able to attend any public school in their vicinity that they choose,Public charter schools should be able to compete for students with traditional public schools,Low-income students should be able to use publicly funded vouchers to offset the cost of private school,"Any student, regardless of income, should be able to use publicly funded vouchers to offset the cost of private school",With which AU SOE program are you affiliated?
2/7/2019 19:09,2019,Yes,20,5,3,8,70,45,80,59,54,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ITEP
2/7/2019 19:16,2019,Yes,23,1,2,10,5,25,80,60,25,Strongly agree,Moderately agree,Strongly agree,Moderately agree,ITEP
2/7/2019 19:17,2019,No,42,2,1,4,20,40,80,50,20,Strongly agree,Moderately disagree,Moderately agree,Moderately disagree,ITEP
2/7/2019 19:17,2019,Yes,0,3,2,6,40,90,95,50,45,Strongly agree,Moderately agree,Moderately agree,Moderately agree,ITEP
2/7/2019 19:18,2019,Yes,55,3,2,6,30,45,60,50,20,Neither agree nor disagree,Moderately agree,Moderately agree,Moderately disagree,ITEP
2/7/2019 19:18,2019,Yes,30,3,2,10,50,35,70,40,10,Strongly agree,Strongly agree,Strongly agree,Moderately agree,ITEP
2/7/2019 19:18,2019,Yes,40,1,1,4,25,75,90,50,,Moderately agree,Neither agree nor disagree,Moderately agree,Moderately agree,ITEP
2/7/2019 19:18,2019,Yes,40,3,1,6,45,55,67,85,43,Moderately agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:19,2019,Yes,32,1,1,9,15,30,65,12,7,Moderately disagree,Moderately disagree,Strongly agree,Strongly disagree,ITEP
2/7/2019 19:19,2019,Yes,35,2,0,0,29,63,88,78,46,Moderately disagree,Strongly agree,Strongly agree,Moderately agree,ITEP
2/7/2019 19:19,2019,Yes,30,3,2,10,,45,65,10,2,Moderately agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:19,2019,Yes,40,5,1,5,25,50,25,80,65,Moderately agree,Moderately agree,Moderately agree,Moderately agree,ITEP
2/7/2019 19:19,2019,No,0,15,3,20,60,70,60,70,50,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/7/2019 19:20,2019,Yes,20,1,2,6,25,40,60,35,20,Moderately agree,Moderately disagree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/7/2019 19:20,2019,Yes,35,5,2,10,15,10,75,0,10,Strongly agree,Moderately agree,Strongly agree,Strongly disagree,ITEP
2/7/2019 19:20,2019,Yes,45,4,2,5,25,48,69,38,35,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:21,2019,Yes,25,2,2,9,10,32,85,60,5,Moderately agree,Moderately disagree,Moderately agree,Strongly disagree,ITEP
2/7/2019 19:22,2019,Yes,8,4,2,4,60,70,88,20,30,Moderately agree,Moderately agree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:23,2019,No,10,5,5,20,10,30,80,10,5,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,ITEP
2/4/2020 18:55,2020,No,35,3,1,3,75,80,90,60,50,Moderately agree,Moderately agree,Moderately agree,Moderately disagree,EPL
2/4/2020 19:11,2020,Yes,40,2,1,3,,35,73,62,45,Moderately agree,Moderately disagree,Strongly disagree,Strongly disagree,EPL
2/4/2020 19:12,2020,Yes,45,1,1,3,40,60,65,75,33,Neither agree nor disagree,Neither agree nor disagree,Moderately agree,Moderately disagree,EPL
2/4/2020 19:12,2020,No,10,5,1,5,20,60,80,30,20,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,EPL
2/4/2020 19:12,2020,Yes,40,1,1,1,30,45,65,10,5,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,EPL
